Id,Label,Modularity Class
0,Waymar Royce,0
1,Will,0
2,Gared,0
3,Ned,2
4,Catelyn,2
5,Jon,2
6,Robb,2
7,Bran,2
8,Sansa,2
9,Arya,2
10,Benjen,1
11,Robert,4
12,Cersei,4
13,Jaime,3
14,Tyrion,3
15,Theon,10
16,Maester Luwin,10
17,Cassel,10
18,Tommy,10
19,Septa Mordance,10
20,Ros,10
21,The Hound,10
22,Viserys,5
23,Daenerys,5
24,Khal Drogo,10
25,Illyrios,10
26,Jorah Mormont,10
